"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Uomini";"Donne"
"Più no che sì";"23,7";"22,3";"25,4"
"Decisamente no";"12,4";"11,5";"13,4"
"Hanno usufruito di iniziative formative di orientamento al lavoro (%)";"62,1";"61,7";"62,6"
"Sono soddisfatti delle iniziative formative di orientamento al lavoro (per 100 fruitori)";"";"";""
"Decisamente sì";"24,1";"25,6";"22,1"
"Più sì che no";"41,1";"41,9";"40,1"
"Più no che sì";"21,5";"20,5";"22,8"
"Decisamente no";"13,4";"12,1";"15,0"
"Hanno usufruito dei servizi di sostegno alla ricerca del lavoro (%)";"59,8";"59,6";"60,1"
"Sono soddisfatti dei servizi di sostegno alla ricerca del lavoro (per 100 fruitori)";"";"";""
"Decisamente sì";"22,6";"24,3";"20,4"
"Più sì che no";"38,7";"40,0";"37,0"
"Più no che sì";"23,5";"21,8";"25,8"
"Decisamente no";"15,2";"13,9";"16,9"
"Hanno usufruito dell'ufficio/servizi job placement (%)";"53,6";"53,1";"54,3"
"Sono soddisfatti dell'organizzazione dell'ufficio/servizi job placement (per 100 fruitori)";"";"";""
"Decisamente sì";"24,6";"25,8";"23,0"
"Più sì che no";"42,7";"42,8";"42,4"
"Più no che sì";"20,8";"20,1";"21,7"
"Decisamente no";"11,9";"11,2";"12,9"
"Hanno usufruito dei servizi delle segreterie studenti (%)";"88,2";"87,1";"89,6"
"Sono soddisfatti dei servizi delle segreterie studenti (per 100 fruitori)";"";"";""
"Decisamente sì";"22,1";"23,1";"21,0"
"Più sì che no";"46,4";"45,0";"48,1"
"Più no che sì";"20,7";"20,8";"20,5"
"Decisamente no";"10,8";"11,1";"10,4"
"Hanno ritenuto l'organizzazione degli esami (appelli, orari, informazioni, prenotazioni, ...) soddisfacente (%)";"";"";""
"Sempre o quasi sempre";"46,7";"48,9";"44,0"
"Per più della meta' degli esami";"40,7";"39,6";"42,1"
"Per meno della meta' degli esami";"8,7";"8,1";"9,6"
"Mai o quasi mai";"1,9";"1,9";"1,8"
"Hanno ritenuto il carico di studio degli insegnamenti adeguato alla durata del corso di studio (%)";"";"";""
"Decisamente sì";"44,7";"46,7";"42,0"
"Più sì che no";"36,8";"35,4";"38,7"
"Più no che sì";"13,4";"13,0";"14,0"
"Decisamente no";"3,2";"3,5";"2,9"
"Si iscriverebbero di nuovo al corso di laurea magistrale? (%)";"";"";""
"Sì, allo stesso corso magistrale dell'Ateneo";"75,4";"75,6";"75,1"
"Sì, ma ad un altro corso magistrale dell'Ateneo";"7,5";"7,9";"7,1"
"Sì, allo stesso corso magistrale, ma in un altro Ateneo";"9,3";"9,0";"9,8"
"Sì, ma ad un altro corso magistrale e in un altro Ateneo";"4,4";"4,1";"4,7"
"Non si iscriverebbero più a nessun corso di laurea magistrale";"2,6";"2,7";"2,5"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";"Uomini";"Donne"
"Lingue straniere: conoscenza “almeno B2” (%)";"";"";""
"Inglese scritto";"81,8";"84,5";"78,1"
"Inglese parlato";"78,2";"81,5";"73,8"
"Francese scritto";"4,1";"3,3";"5,1"
"Francese parlato";"3,9";"3,2";"4,9"
"Spagnolo scritto";"5,6";"4,4";"7,1"
"Spagnolo parlato";"5,9";"4,8";"7,4"
"Tedesco scritto";"1,3";"1,3";"1,4"
"Tedesco parlato";"1,3";"1,3";"1,4"
"Strumenti informatici: livello di conoscenza "almeno buona" (%)";"";"";""
"Navigazione in Internet e comunicazione in rete";"91,8";"91,7";"92,0"
"Word processor";"85,3";"85,3";"85,2"
"Fogli elettronici";"80,8";"81,8";"79,5"
"Strumenti di presentazione";"84,5";"81,9";"87,9"
"Elaborazione e pubblicazione in rete di contenuti multimediali";"47,0";"44,3";"50,4"
"Sistemi operativi";"81,7";"82,7";"80,4"
"Linguaggi di programmazione";"36,5";"45,1";"25,3"
"Data base";"20,7";"24,6";"15,6"
"Realizzazione siti web";"14,9";"18,4";"10,2"
"Reti di trasmissione dati";"17,1";"20,9";"12,2"
"Disegno e progettazione assistita";"27,9";"33,5";"20,6"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"Uomini";"Donne"
"Intendono proseguire gli studi dopo il conseguimento del titolo (%)";"37,6";"32,9";"43,9"
"Laurea di primo livello";"0,2";"0,3";"0,2"
"Altra laurea magistrale biennale";"0,5";"0,5";"0,5"
"Laurea magistrale a ciclo unico";"0,2";"0,1";"0,3"
"Altro titolo equiparato alla laurea";"0,1";"0,1";"0,1"
"Dottorato di ricerca";"21,7";"21,6";"21,9"
"Scuola di specializzazione post-laurea";"1,9";"0,8";"3,4"
"Master universitario";"5,4";"3,9";"7,5"
"Altro tipo di master o corso di perfezionamento";"2,0";"1,4";"2,7"
"Tirocinio, praticantato";"1,4";"1,0";"1,8"
"Attivita' sostenuta da borsa o assegno di studio";"1,5";"1,1";"2,1"
"Altre attivita' di qualificazione professionale";"2,6";"2,1";"3,1"
"Non intendono proseguire";"60,8";"65,6";"54,5"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"Uomini";"Donne"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";"";"";""
"Acquisizione di professionalita'";"79,6";"78,0";"81,7"
"Possibilita' di carriera";"75,3";"75,9";"74,6"
"Possibilita' di guadagno";"73,4";"72,3";"74,9"
"Stabilita'/sicurezza del posto di lavoro";"70,0";"64,6";"77,2"
"Rispondenza agli interessi culturali";"35,6";"33,1";"38,8"
"Coerenza con gli studi";"53,0";"49,1";"58,0"
"Utilita' sociale del lavoro";"39,2";"34,5";"45,4"
"Prestigio ricevuto dal lavoro";"34,2";"33,1";"35,6"
"Coinvolgimento e partecipazione all’attivita' lavorativa e ai processi decisionali";"46,6";"45,8";"47,6"
"Indipendenza o autonomia";"58,5";"54,8";"63,3"
"Flessibilita' dell’orario di lavoro";"48,6";"48,2";"49,1"
"Rapporti con i colleghi sul luogo di lavoro";"61,6";"60,2";"63,4"
"Luogo di lavoro (ubicazione, caratteristiche fisiche dell’ambiente di lavoro)";"50,1";"48,4";"52,3"
"Tempo libero";"54,1";"52,7";"56,0"
"Opportunita' di contatti con l'estero";"44,8";"45,0";"44,5"
"Possibilita' di utilizzare al meglio le competenze acquisite";"58,7";"55,4";"63,0"
"Sono interessati a lavorare nei seguenti settori: decisamente sì (%)";"";"";""
"Pubblico";"45,6";"40,8";"51,8"
