ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;LAU
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;03;Social sciences, journalism and information;F;20
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;03;Social sciences, journalism and information;M;13
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;F;145
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;M;215
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;F;314
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;M;128
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;06;Information and Communication Technologies (ICTs);F;11
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;06;Information and Communication Technologies (ICTs);M;57
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;09;Health and welfare;F;300
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;09;Health and welfare;M;109
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;10;Services;F;32
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea;10;Services;M;22
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;F;43
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;M;15
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;F;28
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;M;29
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;F;61
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;M;51
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;145
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;86
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;8
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;6
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;09;Health and welfare;F;44
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;09;Health and welfare;M;14
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;10;Services;F;3
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale;10;Services;M;1
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;24
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;17
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;09;Health and welfare;F;164
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;105
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;F;37
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;M;42
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Laurea;08;Agriculture, forestry, fisheries and veterinary;F;1
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Laurea;08;Agriculture, forestry, fisheries and veterinary;M;1
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;F;11
2024;00401;Bra (CN) - Università di Scienze Gastronomiche;Piemonte;NORD-OVEST;Laurea Magistrale;04;Business, administration and law;M;13
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Laurea;02;Arts and humanities;F;38
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Laurea;02;Arts and humanities;M;11
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Laurea;03;Social sciences, journalism and information;F;78
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Laurea;03;Social sciences, journalism and information;M;17
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Laurea;04;Business, administration and law;F;22
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Laurea;04;Business, administration and law;M;15
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Laurea Magistrale;02;Arts and humanities;F;1
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;F;19
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;M;14
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Laurea Magistrale Ciclo Unico;01;Education;F;12
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Laurea Magistrale Ciclo Unico;01;Education;M;1
2024;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;Vecchio Ordinamento;01;Education;M;1
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;01;Education;F;149
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;01;Education;M;14
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;02;Arts and humanities;F;465
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;02;Arts and humanities;M;205
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;03;Social sciences, journalism and information;F;321
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;03;Social sciences, journalism and information;M;179
2024;01001;Genova - Università degli studi;Liguria;NORD-OVEST;Laurea;04;Business, administration and law;F;185
