ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;ISC
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;01;Education;M;162
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;08;Agriculture, forestry, fisheries and veterinary;M;6
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;F;173
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;2023
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;M;269
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;09;Health and welfare;M;225
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;03;Social sciences, journalism and information;F;4055
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;03;Social sciences, journalism and information;F;7598
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;10;Services;M;1615
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;06;Information and Communication Technologies (ICTs);F;380
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;09;Health and welfare;M;904
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;03;Social sciences, journalism and information;F;88
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;06;Information and Communication Technologies (ICTs);M;2028
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;03;Social sciences, journalism and information;F;5
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;02;Arts and humanities;M;4
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;M;4085
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;M;164
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;01;Education;F;1927
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;284
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Vecchio Ordinamento;04;Business, administration and law;F;148
2024/2025;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;76
2024/2025;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea;07;Engineering, manufacturing and construction;M;12769
2024/2025;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;F;228
2024/2025;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea Magistrale;07;Engineering, manufacturing and construction;M;10557
2024/2025;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;92
2024/2025;00102;Torino - Politecnico;Piemonte;NORD-OVEST;Laurea;07;Engineering, manufacturing and construction;F;5248
